번호,시퀀스,모델명,지역,가격,시세안심지수,번호판,연식,주행거리,연료,변속기,색상,사진
15,26702185,포르쉐 911 카레라 4 GTS,경기,"20,200만원",적정,382어9516,23년08월(23년형),"3,006km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2670/26702185_28818569234803028.jpeg?width=320
16,26683546,포드 올뉴머스탱 쿠페 프리미엄,인천,"2,530만원",적정,46모3820,18년10월(19년형),"57,331km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img08/img2668/26683546_28316496295488100.jpeg?width=320
17,26640521,포르쉐 911 카레라 S 993,경기,"13,200만원",적정,381나8511,21년05월(21년형),"48,809km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2664/26640521_27349667699664345.jpeg?width=320
18,26633218,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,인천,"6,900만원",적정,116다8229,20년03월(20년형),"58,960km",가솔린,오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img03/img2663/26633218_27088085432258865.jpeg?width=320
19,26604389,포르쉐 카이맨 (718) 2.0,경기,"5,200만원",적정,248주6001,18년04월(18년형),"80,047km",가솔린,오토,검정색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2660/26604389_26245192452221666.jpeg?width=320
20,26540301,포르쉐 911(992) Carrera 4S Cabriolet,경기,"20,300만원",적정,148더6682,23년10월(24년형),"15,870km",가솔린,오토,파랑색,https://img.kbchachacha.com/IMG/carimg/l/img04/img2654/26540301_24585823419134436.jpeg?width=320
21,25794839,포르쉐 Taycan GTS,경기,"14,500만원",적정,08두7250,23년01월(23년형),"11,514km",전기,오토,빨강색,https://img.kbchachacha.com/IMG/carimg/l/img09/img2579/25794839_7497358103918267.jpeg?width=320
22,26268515,BMW M시리즈 X3 M F97(19~),경기,"5,190만원",낮음,145너1359,20년01월(20년형),"88,097km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img06/img2626/26268515_17930616918674813.jpeg?width=320
23,26204377,BMW M시리즈 X4 M Competition,경기,"8,790만원",적정,146수5055,23년05월(23년형),"19,834km",가솔린,오토,회색,https://img.kbchachacha.com/IMG/carimg/l/img10/img2620/26204377_16209387435862334.jpeg?width=320
24,26021818,벤츠 AMG GT GT 4door 43 4MATIC+ 기본형,경기,"7,860만원",적정,266보8412,21년07월(21년형),"62,317km",하이브리드(가솔린),오토,흰색,https://img.kbchachacha.com/IMG/carimg/l/img02/img2602/26021818_12250574732051507.jpeg?width=320
